date,entry_date,spot_entry,spot_expiry,vol_used,short_strike,long_strike,net_premium,net_intrinsic,strategy_return,buy_hold_return,income_yield,strategy_nav,buy_hold_nav
2015-03-31,2015-02-27,99.68614959716797,97.33456420898438,0.12919112969661437,101.99306493075478,104.99090569351038,0.5340023137334331,0.0,-0.01904623676148047,-0.023063863452033807,0.0040176266905533374,0.9809537632385196,0.9769361365479662
2015-04-30,2015-03-31,97.33456420898438,99.20568084716797,0.17648373805406867,100.2751550067129,104.19189301828315,0.6849598364411555,0.0,0.02499458586261459,0.01971670866137832,0.005277877201236272,1.0054722963010396,0.9961981017330549
2015-05-29,2015-04-30,99.20568084716797,101.43628692626953,0.15637763423560475,101.8163055600322,105.2723220383471,0.6103827971488052,0.0,0.027575898121411237,0.022961373086631716,0.004614525034779522,1.0331990979077383,1.019072178015142
2015-06-30,2015-05-29,101.43628692626953,98.91651153564453,0.1746463918547559,104.58144753598816,108.75826352286911,0.7291207640890818,0.0,-0.018923963107540454,-0.024314938956886068,0.005390975849345615,1.0136468762961883,0.9942935002140428
2015-07-31,2015-06-30,98.91651153564453,103.42488861083984,0.1635479029188522,101.74033489619164,105.47973786243158,0.6567995741995443,1.684553714648203,0.03829459997440201,0.04608718781812849,0.004979954033985014,1.052464077939253,1.0401176915047519
2015-08-31,2015-07-31,103.42488861083984,96.36669158935547,0.17542098422185312,106.58866700985257,110.79621674029511,0.7351855581589444,0.0,-0.062403776786626064,-0.06773507736645011,0.0053313005798240505,0.9867863445435895,0.969665239200464
2015-09-30,2015-08-31,96.36669158935547,94.23958587646484,0.3491519264389633,102.26754165141115,110.32126239871214,1.305865523844128,0.0,-0.011416634232228589,-0.021579888015564645,0.010163253783336056,0.9755205657825774,0.9487399719259323
2015-10-30,2015-09-30,94.23958587646484,104.95451354980469,0.28248196386108504,98.84237031691376,105.09408463246491,1.043964720257879,6.112143232890929,0.07385715928666814,0.11419194905810827,0.008308329593253732,1.047569743597002,1.0570784384694893
2015-11-30,2015-10-30,104.95451354980469,105.59355926513672,0.17998679428363,108.24798036010908,112.6344726629166,0.7649159821318587,0.0,0.012064429904185114,0.006598376399714731,0.0054660535044703815,1.0602080753383734,1.064053439890534
2015-12-31,2015-11-30,105.59355926513672,103.90956115722656,0.16315803743524007,108.60094309547468,112.5828160435983,0.6995072563423133,0.0,-0.01046994109049433,-0.01543833543109451,0.004968394340600179,1.0491077592459142,1.047626225968894
2016-01-29,2015-12-31,103.90956115722656,96.72895812988281,0.2324788426341781,107.97627141410885,113.46975009924994,0.9392980209390238,0.0,-0.06184796154643472,-0.0686276409893911,0.006779679442956382,0.9842225828940065,0.97573010944203
2016-02-29,2016-01-29,96.72895812988281,95.21483612060547,0.3197347693158421,102.21876851550641,109.69248001928773,1.2247660239595302,0.0,-0.005647279623901292,-0.015143655225675392,0.0094963756017741,0.9786644027562457,0.9609539890713293
2016-03-31,2016-02-29,95.21483612060547,101.739501953125,0.27127498821698554,99.75551269071399,105.91032520567836,1.0307545868068662,1.983989262411015,0.061526758870148815,0.0690353156857856,0.008119175242038255,1.0388784514794276,1.0272937510663835
